WE DO NOT RECOMMEND IMPORTING DATA IN THIS FILE INTO DONORPEFECT USING DONORPERFECT'S IMPORT MODULE

EntryDate,EntryId,first_name,last_name,home_phone,email,campaign,amount,gl_code,sub_solicit_code,solicit_code,
12/29/22,3121,Randy,Peck,555-444-9424,randy.peck@testmail.com,SYM2023,$25.00,SYM-TICK,SAT_SPEAK_ONLY,SYM2023,
12/29/22,3121,Randy,Peck,555-444-9424,randy.peck@testmail.com,SYM2023,$25.00,SYM-TICK,FRI_SPEAK_ONLY,SYM2023,
12/29/22,3122,Stanford,Weiss,555-710-3920,stanford.weiss@testmail.com,SYM2023,$25.00,SYM-TICK,FRI_SPEAK_ONLY,SYM2023,
12/29/22,3122,Stanford,Weiss,555-710-3920,stanford.weiss@testmail.com,SYM2023,$25.00,SYM-TICK,SAT_SPEAK_ONLY,SYM2023,
12/29/22,3123,Emmitt,Greene,555-248-9145,emmitt.greene@testmail.com,SYM2023,$25.00,SYM-TICK,FRI_SPEAK_ONLY,SYM2023,
12/29/22,3123,Emmitt,Greene,555-248-9145,emmitt.greene@testmail.com,SYM2023,$25.00,SYM-TICK,SAT_SPEAK_ONLY,SYM2023,
1/2/23,3133,Alisha,Howell,555-925-9812,alisha.howell@testmail.com,SYM2023,$25.00,SYM-TICK,FRI_SPEAK_ONLY,SYM2023,
1/2/23,3133,Alisha,Howell,555-925-9812,alisha.howell@testmail.com,SYM2023,$25.00,SYM-TICK,SAT_SPEAK_ONLY,SYM2023,
1/2/23,3134,Otha,Davidson,555-644-2647,otha.davidson@testmail.com,SYM2023,$25.00,SYM-TICK,SAT_SPEAK_ONLY,SYM2023,
1/2/23,3134,Otha,Davidson,555-644-2647,otha.davidson@testmail.com,SYM2023,$25.00,SYM-TICK,FRI_SPEAK_ONLY,SYM2023,
1/3/23,3135,Ted,Mayer,555-669-0844,ted.mayer@testmail.com,SYM2023,$25.00,SYM-TICK,FRI_SPEAK_ONLY,SYM2023,
1/3/23,3135,Ted,Mayer,555-669-0844,ted.mayer@testmail.com,SYM2023,$30.00,SYM-TICK,FRI_LUNCH,SYM2023,
1/3/23,3135,Ted,Mayer,555-669-0844,ted.mayer@testmail.com,SYM2023,$60.00,SYM-TICK,FRI_DINNER,SYM2023,
1/3/23,3135,Ted,Mayer,555-669-0844,ted.mayer@testmail.com,SYM2023,$25.00,SYM-TICK,SAT_SPEAK_ONLY,SYM2023,
1/3/23,3135,Ted,Mayer,555-669-0844,ted.mayer@testmail.com,SYM2023,$30.00,SYM-TICK,SAT_LUNCH,SYM2023,
1/3/23,3135,Ted,Mayer,555-669-0844,ted.mayer@testmail.com,SYM2023,$60.00,SYM-TICK,SAT_DINNER,SYM2023,
1/3/23,3137,Tyler,Montgomery,555-396-9929,tyler.montgomery@testmail.com,SYM2023,$25.00,SYM-TICK,FRI_SPEAK_ONLY,SYM2023,
1/3/23,3137,Tyler,Montgomery,555-396-9929,tyler.montgomery@testmail.com,SYM2023,$60.00,SYM-TICK,FRI_DINNER,SYM2023,
1/3/23,3137,Tyler,Montgomery,555-396-9929,tyler.montgomery@testmail.com,SYM2023,$25.00,SYM-TICK,SAT_SPEAK_ONLY,SYM2023,
1/3/23,3137,Tyler,Montgomery,555-396-9929,tyler.montgomery@testmail.com,SYM2023,$60.00,SYM-TICK,SAT_DINNER,SYM2023,
1/3/23,3138,Cristobal,Stephens,555-603-7462,cristobal.stephens@testmail.com,SYM2023,$25.00,SYM-TICK,FRI_SPEAK_ONLY,SYM2023,
1/3/23,3138,Cristobal,Stephens,555-603-7462,cristobal.stephens@testmail.com,SYM2023,$60.00,SYM-TICK,FRI_DINNER,SYM2023,
1/3/23,3138,Cristobal,Stephens,555-603-7462,cristobal.stephens@testmail.com,SYM2023,$25.00,SYM-TICK,SAT_SPEAK_ONLY,SYM2023,
1/3/23,3138,Cristobal,Stephens,555-603-7462,cristobal.stephens@testmail.com,SYM2023,$60.00,SYM-TICK,SAT_DINNER,SYM2023,
1/4/23,3139,Carlton,Atkins,555-772-1293,carlton.atkins@testmail.com,SYM2023,$25.00,SYM-TICK,FRI_SPEAK_ONLY,SYM2023,
1/4/23,3139,Carlton,Atkins,555-772-1293,carlton.atkins@testmail.com,SYM2023,$25.00,SYM-TICK,FRI_BREAKFAST,SYM2023,
1/4/23,3139,Carlton,Atkins,555-772-1293,carlton.atkins@testmail.com,SYM2023,$30.00,SYM-TICK,FRI_LUNCH,SYM2023,
1/4/23,3139,Carlton,Atkins,555-772-1293,carlton.atkins@testmail.com,SYM2023,$60.00,SYM-TICK,FRI_DINNER,SYM2023,
1/4/23,3139,Carlton,Atkins,555-772-1293,carlton.atkins@testmail.com,SYM2023,$25.00,SYM-TICK,SAT_SPEAK_ONLY,SYM2023,
1/4/23,3139,Carlton,Atkins,555-772-1293,carlton.atkins@testmail.com,SYM2023,$25.00,SYM-TICK,SAT_BREAKFAST,SYM2023,
1/4/23,3139,Carlton,Atkins,555-772-1293,carlton.atkins@testmail.com,SYM2023,$30.00,SYM-TICK,SAT_LUNCH,SYM2023,
1/4/23,3139,Carlton,Atkins,555-772-1293,carlton.atkins@testmail.com,SYM2023,$60.00,SYM-TICK,SAT_DINNER,SYM2023,
1/4/23,3140,Mavis,Giles,555-502-3389,mavis.giles@testmail.com,SYM2023,$25.00,SYM-TICK,FRI_SPEAK_ONLY,SYM2023,
1/4/23,3140,Mavis,Giles,555-502-3389,mavis.giles@testmail.com,SYM2023,$25.00,SYM-TICK,FRI_BREAKFAST,SYM2023,
1/4/23,3140,Mavis,Giles,555-502-3389,mavis.giles@testmail.com,SYM2023,$30.00,SYM-TICK,FRI_LUNCH,SYM2023,
1/4/23,3140,Mavis,Giles,555-502-3389,mavis.giles@testmail.com,SYM2023,$60.00,SYM-TICK,FRI_DINNER,SYM2023,
1/4/23,3140,Mavis,Giles,555-502-3389,mavis.giles@testmail.com,SYM2023,$25.00,SYM-TICK,SAT_SPEAK_ONLY,SYM2023,
1/4/23,3140,Mavis,Giles,555-502-3389,mavis.giles@testmail.com,SYM2023,$25.00,SYM-TICK,SAT_BREAKFAST,SYM2023,
1/4/23,3140,Mavis,Giles,555-502-3389,mavis.giles@testmail.com,SYM2023,$30.00,SYM-TICK,SAT_LUNCH,SYM2023,
1/4/23,3140,Mavis,Giles,555-502-3389,mavis.giles@testmail.com,SYM2023,$60.00,SYM-TICK,SAT_DINNER,SYM2023,
